trial,timestamp,learning_rate,hidden_dim,num_layers,dropout_rate,test_approximation_rate,val_approximation_rate,test_infeasible_rate,val_infeasible_rate,test_mean_load_factor,val_mean_load_factor,test_loss,val_loss,test_time,val_time
67,2025-09-25T23:12:21.952943,0.0001,64,10,0.3,tensor(67.0884),tensor(65.4347),0.0,0.0,tensor(0.4895),tensor(0.4981),4.363846600055695,4.355635941028595,8.589704990386963,8.48922348022461
68,2025-09-25T23:18:53.550561,0.0001,64,10,0.4,tensor(67.0884),tensor(65.4347),0.0,0.0,tensor(0.4895),tensor(0.4981),4.363846600055695,4.355635941028595,8.5937979221344,8.54952073097229
69,2025-09-25T23:27:20.890659,0.0001,64,15,0.2,tensor(62.9138),tensor(62.2461),0.0,0.0,tensor(0.5220),tensor(0.5236),12.686461091041565,12.662729382514954,8.742499113082886,8.736139297485352
70,2025-09-25T23:35:47.630739,0.0001,64,15,0.3,tensor(62.9138),tensor(62.2461),0.0,0.0,tensor(0.5220),tensor(0.5236),12.686461091041565,12.662729382514954,8.763283491134644,8.654995203018188
71,2025-09-25T23:44:16.392345,0.0001,64,15,0.4,tensor(62.9138),tensor(62.2461),0.0,0.0,tensor(0.5220),tensor(0.5236),12.686461091041565,12.662729382514954,8.943084955215454,8.878540754318237
72,2025-09-25T23:50:12.590020,0.0001,128,5,0.2,tensor(78.0897),tensor(78.2949),0.0,0.0,tensor(0.4206),tensor(0.4163),0.5606732740998268,0.5602605603635311,8.994794130325317,8.89280366897583
73,2025-09-25T23:56:09.361303,0.0001,128,5,0.3,tensor(78.0897),tensor(78.2949),0.0,0.0,tensor(0.4206),tensor(0.4163),0.5606732740998268,0.5602605603635311,9.154045581817627,8.977740287780762
74,2025-09-26T00:02:06.669910,0.0001,128,5,0.4,tensor(78.0897),tensor(78.2949),0.0,0.0,tensor(0.4206),tensor(0.4163),0.5606732740998268,0.5602605603635311,9.00545859336853,8.956425428390503
75,2025-09-26T00:11:11.583044,0.0001,128,10,0.2,tensor(73.6526),tensor(73.5344),0.0,0.0,tensor(0.4459),tensor(0.4432),1.8528191819787025,1.849718689918518,9.423149824142456,9.379810333251953
76,2025-09-26T00:20:19.109994,0.0001,128,10,0.3,tensor(73.6526),tensor(73.5344),0.0,0.0,tensor(0.4459),tensor(0.4432),1.8528191819787025,1.849718689918518,9.34205174446106,9.351611852645874
77,2025-09-26T00:29:25.970255,0.0001,128,10,0.4,tensor(73.6526),tensor(73.5344),0.0,0.0,tensor(0.4459),tensor(0.4432),1.8528191819787025,1.849718689918518,9.43521761894226,9.387636661529541
78,2025-09-26T00:41:21.020442,0.0001,128,15,0.2,tensor(62.7552),tensor(62.4100),0.0,0.0,tensor(0.5233),tensor(0.5222),31.911327004432678,31.8506281375885,9.368186473846436,9.283488035202026
79,2025-09-26T00:53:12.899031,0.0001,128,15,0.3,tensor(62.7552),tensor(62.4100),0.0,0.0,tensor(0.5233),tensor(0.5222),31.911327004432678,31.8506281375885,9.583712816238403,9.426247835159302
80,2025-09-26T01:05:08.508193,0.0001,128,15,0.4,tensor(62.7552),tensor(62.4100),0.0,0.0,tensor(0.5233),tensor(0.5222),31.911327004432678,31.8506281375885,9.515559196472168,9.441420793533325
