==================================================
TRAINING/EVALUATION RESULTS
==================================================
Timestamp: 20250901_184535
Mode: reinforcement_learning
Config File: configs/nsfnet_25_commodities_rl.json
Model Hash: unknown

FINAL METRICS:
  Final Train Loss: 0.0000
  Final Train Edge Error: 0.19%
  Final Test Approximation Rate: 84.04%
  Best Test Approximation Rate: 100.00%

TIME METRICS:
  Total Training Time: 4982.86s
  Total Test Time: 465.85s
  Average Training Time per Epoch: 1.56s
  Average Test Time per Epoch: 1.46s
  Training Time per Data: 0.0005s
  Test Time per Data: 0.0045s
  Total Training Samples: 10240000
  Total Test Samples: 102400

==================================================
DETAILED RESULTS
==================================================
Epoch  Train Loss   Edge Error   Train Time   Val Approx   Test Approx 
434    0.0000       0.20         1.58         N/A          N/A         
435    0.0000       0.27         1.61         N/A          N/A         
436    0.0000       0.17         1.56         N/A          N/A         
437    0.0000       0.00         1.52         N/A          N/A         
438    0.0000       0.07         1.57         N/A          N/A         
439    0.0000       0.09         1.59         N/A          N/A         
440    0.0000       0.05         1.56         N/A          N/A         
441    0.0000       0.11         1.57         N/A          N/A         
442    0.0000       0.04         1.52         N/A          N/A         
443    0.0000       0.08         1.54         N/A          N/A         
444    0.0000       0.04         1.54         N/A          N/A         
445    0.0000       0.02         1.53         N/A          N/A         
446    0.0000       0.00         1.51         N/A          N/A         
447    0.0000       0.08         1.53         N/A          N/A         
448    0.0000       0.10         1.54         N/A          N/A         
449    0.0000       0.13         1.56         N/A          N/A         
450    0.0000       0.04         1.58         N/A          N/A         
451    0.0000       0.00         1.53         N/A          N/A         
452    0.0000       0.03         1.55         N/A          N/A         
453    0.0000       0.09         1.57         N/A          N/A         
454    0.0000       0.09         1.54         N/A          N/A         
455    0.0000       0.08         1.53         N/A          N/A         
456    0.0000       0.14         1.54         N/A          N/A         
457    0.0000       0.11         1.53         N/A          N/A         
458    0.0000       0.04         1.59         N/A          N/A         
459    0.0000       0.15         1.53         N/A          N/A         
460    0.0000       0.30         1.55         N/A          N/A         
461    0.0000       0.15         1.54         N/A          N/A         
462    0.0000       0.15         1.57         N/A          N/A         
463    0.0000       0.00         1.49         N/A          N/A         
464    0.0000       0.04         1.55         N/A          N/A         
465    0.0000       0.05         1.58         N/A          N/A         
466    0.0000       0.00         1.52         N/A          N/A         
467    0.0000       0.00         1.53         N/A          N/A         
468    0.0000       0.20         1.56         N/A          N/A         
469    0.0000       0.00         1.52         N/A          N/A         
470    0.0000       0.18         1.54         N/A          N/A         
471    0.0000       0.05         1.57         N/A          N/A         
472    0.0000       0.06         1.57         N/A          N/A         
473    0.0000       0.14         1.53         N/A          N/A         
474    0.0000       0.05         1.54         N/A          N/A         
475    0.0000       0.06         1.57         N/A          N/A         
476    0.0000       0.15         1.58         N/A          N/A         
477    0.0000       0.12         1.54         N/A          N/A         
478    0.0000       0.08         1.54         N/A          N/A         
479    0.0000       0.15         1.57         N/A          N/A         
